Year,MPG,USG,BPM,TS_Player,TS_League,Schedule_Days,TZ_Shifts,RS_MPG,RS_USG,Games_Played,TSA_100,TSA_League_100,RS_Pace,PO_Pace
2006,46.5,31.7,9.3,0.557,0.535,"0,3,6,8,11,13,17,19,21,24,26,28,31","0,0,0,0,0,0,0,0,0,0,0,0,0",42.5,33.7,79.0,29.5,21.4,90.5,89.0
2007,44.7,30.7,7.3,0.516,0.531,"0,2,4,6,11,13,15,17,22,24,26,28,30,32,37,40,43,46,48,51","0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1",40.9,31.0,78.0,26.2,21.2,91.0,89.5
2008,42.5,33.1,8.9,0.518,0.528,"0,2,5,7,10,12,16,18,21,24,27,30,32","0,0,0,0,0,0,0,0,0,0,0,0,0",40.4,33.5,75.0,29.3,21.3,92.4,91.0
2009,41.4,36.4,17.5,0.618,0.538,"0,3,5,8,12,14,17,20,23,26,28,31,33,36","0,0,0,0,0,0,0,0,0,0,0,0,0,0",37.7,33.8,81.0,32.8,21.5,91.7,90.5
2010,41.8,34.5,12.3,0.602,0.54,"0,2,5,8,12,14,17,20,22,24,27","0,0,0,0,0,0,0,0,0,0,0",39.0,33.5,76.0,28.1,21.2,92.7,91.5
2011,43.9,28.8,7.9,0.566,0.537,"0,2,4,7,11,14,17,20,22,25,28,31,33,36,38,42,45,47,50,53,56","0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0",38.8,31.5,79.0,24.3,20.8,92.1,90.5
2012,42.7,33.0,11.0,0.576,0.523,"0,2,4,6,8,13,15,17,20,22,25,27,31,33,35,37,40,42,44,48,50,53,55","0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0",37.5,32.0,62.0,29.2,20.9,91.3,90.0
2013,41.7,30.3,9.4,0.585,0.53,"0,2,4,7,13,15,17,19,21,24,26,29,31,34,36,39,41,43,46,48,51,54,58","0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0",37.9,30.2,76.0,24.9,20.7,92.0,90.5
2014,38.2,30.7,11.3,0.668,0.535,"0,3,5,8,14,16,18,20,22,28,30,32,34,37,45,48,51,55,58","0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0",37.7,31.0,77.0,24.7,21.0,93.9,92.5
2015,42.2,37.6,10.1,0.487,0.529,"0,2,4,7,15,17,20,22,25,28,32,34,36,38,46,49,52,55,58,63","0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,3",36.1,32.3,69.0,34.6,21.1,93.9,92.0
2016,39.1,31.5,13.1,0.585,0.538,"0,3,5,8,17,20,23,26,31,33,35,38,40,43,48,51,54,58,61,64,68","0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,3,0",35.6,31.4,76.0,26.3,21.4,95.8,93.5
2017,41.3,31.5,11.5,0.649,0.551,"0,2,5,7,16,18,21,24,32,34,36,38,47,50,53,56,59","0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0",37.8,30.0,74.0,28.5,21.6,96.4,94.5
2018,41.9,35.0,12.7,0.619,0.552,"0,3,5,7,10,12,14,16,18,20,22,28,30,32,34,36,38,40,46,49,52,55","0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0",36.9,31.6,82.0,30.5,21.8,97.3,95.5
2019,,,,,,,,,,,,,,100.0,97.5
2020,36.3,31.6,11.5,0.647,0.565,"0,2,4,6,8,13,15,17,20,24,26,28,30,32,35,37,39,41,43,46,49","0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0",34.6,31.5,67.0,26.1,22.3,100.3,98.5
2021,37.3,30.4,7.0,0.582,0.566,"0,4,6,9,11,13,16","1,0,1,0,0,0,0",33.4,27.3,45.0,24.8,22.5,99.2,97.0
2022,,,,,,,,,,,,,,98.2,96.0
2023,38.7,28.2,6.5,0.584,0.575,"0,3,6,8,11,13,17,20,23,25,27,29,31,35,37,39,41","0,2,0,2,0,2,0,2,0,2,0,2,0,1,0,1,0",35.5,33.3,55.0,23.9,22.1,99.2,97.0
2024,40.8,30.1,10.2,0.64,0.57,"0,3,6,8,10","1,0,1,0,0",35.3,29.7,71.0,23.4,22.0,99.9,97.0
2025,37.5,29.5,8.8,0.615,0.563,"0,3,6,8,11,13,17,20","1,0,1,0,1,0,1,0",35.1,28.5,74.0,x,x,99.5,96.5
