Year,Total_TPI,TPI_per_G,Prod_Score,Res_Score,Fatigue_Avg,Prod_Multiplier,GP
2006,454.1045266910499,34.93111743777307,9.879502336644208,1.3572460722228843,0.383867357401722,2.60506651768644,13.0
2007,480.2708629709715,24.013543148548575,6.99287283898998,1.234900905820382,0.3596097814360818,2.780791990714366,20.0
2008,563.5230699704447,43.34792845926498,8.64836006032522,1.7630171524037985,0.3517401561840598,2.843007778380347,13.0
2009,564.5343016673992,40.32387869052851,21.545042137871274,0.634082250308864,0.3387900481158218,2.9516805631142122,14.0
2010,277.22315457506863,25.202104961369876,14.478021212213626,0.7029412390067056,0.4038233387599392,2.476330375234874,11.0
2011,281.9617566244223,13.426750315448682,8.548507745401222,0.6071700252359854,0.3865713997476558,2.58684424314053,21.0
2012,668.2877724923022,29.055990108360966,12.71375613803666,0.8422001069542281,0.3685135746299459,2.7136042437627443,23.0
2013,474.05434295449965,20.61105838932607,10.900535868828225,0.7573167354011047,0.400520831214508,2.496749037915652,23.0
2014,874.9185958551743,46.048347150272335,15.76567117262206,1.1120232769238303,0.3807257894201978,2.6265622865288076,19.0
2015,643.4610807811681,32.17305403905841,8.921364990126941,1.3213060141511312,0.3663890037166352,2.7293395540151058,20.0
2016,1167.5294497242191,55.59664046305806,14.853598525053775,1.4312043454670595,0.3823708515086553,2.6152621102117775,21.0
2017,913.9598637560568,53.76234492682687,14.700682138622259,1.2347990481860351,0.3376413052139464,2.961722942536163,17.0
2018,2645.3878080284453,120.24490036492934,15.08103257042938,1.6743336551577108,0.2099937736283753,4.762045953656197,22.0
2019,,,,,,,
2020,423.71198325537966,20.17676110739903,14.092290578935302,0.5644335363159672,0.3942238976772028,2.5366295800231193,21.0
2021,136.33811254568963,19.476873220812802,7.298907674643902,1.3097739583804995,0.4908343905353614,2.0373470548982584,7.0
2022,,,,,,,
2023,412.57159405150395,24.26891729714729,6.653204311365904,1.5403248760997437,0.4222724887597515,2.368139120161678,17.0
2024,262.0069327334769,52.401386546695385,12.135504879888572,1.8637489065662443,0.4316209062591682,2.3168479225599574,5.0
2025,121.45562732625152,15.18195341578144,10.046915590526533,0.6220633270840394,0.411660974580441,2.429183385719732,8.0
